line,Pija,Pijb,Pijc,Qija,Qijb,Qijc,status
"('area_1', 'area_2')",3695.3199999999997,3807.2300000000005,3611.65,926.3099999999977,954.2100000000064,905.179999999993,1.0
"('area_2', 'area_3')",3695.3199999999997,3807.2300000000005,3611.65,926.3099999999977,954.2100000000064,905.179999999993,1.0
"('area_3', 'area_4')",1037.3399999999965,984.6199999999953,1149.4,259.97000000000116,246.80999999999767,288.08000000000175,1.0
"('area_4', 'area_5')",1037.3399999999965,984.6199999999953,1149.4,259.97000000000116,246.80999999999767,288.08000000000175,1.0
"('area_3', 'area_6')",2657.979999999996,2822.6100000000006,2462.25,666.3399999999965,707.4,617.1,1.0
"('area_6', 'area_7')",2657.979999999996,2822.6100000000006,2462.25,666.3399999999965,707.4,617.1,1.0
"('area_7', 'area_8')",853.2100000000064,1156.8399999999965,1344.5,213.88999999999942,289.95,337.00999999999476,1.0
"('area_8', 'area_9')",853.2100000000064,1156.8399999999965,1344.5,213.88999999999942,289.95,337.00999999999476,1.0
"('area_7', 'area_10')",1804.770000000004,1665.770000000004,1117.75,452.45,417.45,280.0899999999965,1.0
"('area_10', 'area_11')",1804.770000000004,1665.770000000004,1117.75,452.45,417.45,280.0899999999965,1.0
"('area_11', 'area_12')",1804.770000000004,1665.770000000004,1117.75,452.45,417.45,280.0899999999965,1.0
"('area_5', 'area_13')",1035.5699999999965,984.6199999999953,1145.3299999999942,259.53000000000117,246.80999999999767,287.06000000000176,1.0
"('area_13', 'area_14')",982.35,984.6199999999953,888.0299999999988,246.2,246.80999999999767,222.57000000000698,1.0
"('area_14', 'area_15')",774.8299999999988,809.5299999999988,717.1799999999982,194.17999999999358,202.9100000000035,179.75,1.0
"('area_15', 'area_16')",771.2799999999988,809.5299999999988,686.6699999999983,193.2899999999936,202.9100000000035,172.11000000000058,1.0
"('area_9', 'area_17')",674.95,842.5600000000053,1213.3100000000052,169.19,211.2,304.1200000000058,1.0
"('area_17', 'area_18')",576.5,826.9900000000052,1209.2400000000052,144.5,207.30999999999767,303.1,1.0
"('area_18', 'area_19')",313.08,584.75,1130.9300000000053,78.48,146.63000000000466,283.46000000000583,1.0
